multa_id,velocidad_registrada,velocidad_maxima,radar_id,estado_multa,fecha,hora,ubicacion,patente,exceso_velocidad_real,exceso_velocidad
5,94.0,60,,ERROR,2021-01-21,00:00,AV SIEMPRE VIVA,BX55DOG,34.0,31.0
47,70.0,60,R01,IMPAGA,2020-05-28,00:00,RUTA 9,W326AVE,10.0,7.0
55,57.0,40,R01,ERROR,2020-02-09,00:00,AV SIEMPRE VIVA,9999868,17.0,15.0
61,99.0,80,R01,ERROR,2022-11-08,00:00,RUTA 9,VY90540,19.0,15.0
75,57.0,40,R01,PAGADA,2021-04-21,00:00,AV LIBERTADOR,W326AVE,17.0,15.0
77,83.0,40,R01,PAGADA,1932-01-01,00:00,RUTA 9,B81JKY,43.0,41.0
91,148.0,80,R01,PAGADA,2023-07-09,00:00,AV LIBERTADOR,INTIGR8,68.0,64.0
109,77.0,60,R03,PAGADA,2021-08-12,00:00,AV SIEMPRE VIVA,DI2LOT,17.0,14.0
129,123.0,80,R02,PAGADA,2022-09-24,00:00,AV SIEMPRE VIVA,T0YDR,43.0,39.0
141,108.0,60,R03,IMPAGA,2022-04-13,00:00,AV LIBERTADOR,INTIGR8,48.0,45.0
155,116.0,80,R01,PAGADA,2024-01-03,00:00,RUTA 9,691XC80,36.0,32.0
164,97.0,80,R03,PAGADA,2020-10-07,00:00,RUTA 9,MVU4688,17.0,13.0
165,108.0,40,,APELADA,2021-09-25,00:00,AV LIBERTADOR,GE1466,68.0,66.0
171,75.0,40,R03,IMPAGA,2023-08-11,00:00,RUTA 9,CD05601,35.0,33.0
184,111.0,80,R03,ERROR,1932-01-01,00:00,RUTA 9,81ZFJD,31.0,27.0
197,69.0,40,,APELADA,2020-05-03,00:00,AV SIEMPRE VIVA,DK414N,29.0,27.0
211,97.0,80,R03,PAGADA,2022-06-06,00:00,RUTA 9,2999961,17.0,13.0
217,92.0,40,R03,APELADA,2022-08-02,00:00,RUTA 9,B81JKY,52.0,50.0
218,129.0,60,R02,APELADA,1932-01-01,00:00,AV LIBERTADOR,5777770,69.0,66.0
243,116.0,40,R02,IMPAGA,2021-03-15,00:00,AV LIBERTADOR,NHZ1002,76.0,74.0
256,125.0,80,R03,ERROR,2020-04-30,00:00,AV SIEMPRE VIVA,XIIUME,45.0,41.0
262,94.0,60,R01,ERROR,2020-03-29,00:00,AV LIBERTADOR,BHRP770,34.0,31.0
297,88.0,60,R03,APELADA,2022-07-22,00:00,AV SIEMPRE VIVA,GOOGLE,28.0,25.0
298,99.0,80,R01,ERROR,2021-09-18,00:00,RUTA 9,VY90540,19.0,15.0
325,159.0,80,R02,ERROR,2022-12-21,00:00,RUTA 9,9999868,79.0,75.0
327,93.0,40,R01,ERROR,2020-02-28,00:00,AV LIBERTADOR,J1S1,53.0,51.0
332,151.0,80,,PAGADA,2023-10-09,00:00,AV SIEMPRE VIVA,HK06YMX,71.0,67.0
334,64.0,40,,IMPAGA,2023-08-21,00:00,AV LIBERTADOR,810TCH,24.0,22.0
387,125.0,60,R02,IMPAGA,2022-11-11,00:00,AV SIEMPRE VIVA,MX60NZA,65.0,62.0
397,94.0,80,R02,APELADA,2020-07-01,00:00,RUTA 9,HF3461,14.0,10.0
400,94.0,60,,ERROR,2021-01-28,00:00,RUTA 9,BM351,34.0,31.0
410,98.0,60,R01,PAGADA,2023-01-08,00:00,AV SIEMPRE VIVA,UM96201,38.0,35.0
430,71.0,40,,APELADA,2023-11-13,00:00,RUTA 9,FVIOUHP,31.0,29.0
435,91.0,60,R01,PAGADA,2021-10-11,00:00,RUTA 9,T0YDR,31.0,28.0
444,74.0,60,R02,PAGADA,2022-01-18,00:00,AV LIBERTADOR,3646HBH,14.0,11.0
451,160.0,80,,APELADA,2020-06-21,00:00,AV LIBERTADOR,6NCE831,80.0,76.0
467,146.0,80,R01,PAGADA,2022-02-14,00:00,AV SIEMPRE VIVA,OUTSTDN,66.0,62.0
469,115.0,80,,PAGADA,2021-04-23,00:00,AV LIBERTADOR,NTHGLFT,35.0,31.0
471,84.0,60,R03,PAGADA,2020-01-11,00:00,AV SIEMPRE VIVA,B81JKY,24.0,21.0
472,75.0,40,R02,PAGADA,2020-04-28,00:00,AV LIBERTADOR,YLO8WUE,35.0,33.0
476,106.0,60,R03,PAGADA,1932-01-01,00:00,AV SIEMPRE VIVA,6NCE831,46.0,43.0
498,103.0,60,R03,APELADA,2021-01-23,00:00,RUTA 9,BX55DOG,43.0,40.0
500,63.0,40,,PAGADA,2020-06-27,00:00,RUTA 9,GCP332,23.0,21.0
526,129.0,60,R02,APELADA,2022-07-30,00:00,AV LIBERTADOR,FD1475,69.0,66.0
551,90.0,60,R02,IMPAGA,2020-01-22,00:00,RUTA 9,MX60NZA,30.0,27.0
557,52.0,40,,PAGADA,2022-01-26,00:00,AV LIBERTADOR,VTIIAHV,12.0,10.0
561,116.0,80,,APELADA,2022-06-06,00:00,RUTA 9,TL03GOG,36.0,32.0
587,100.0,40,R01,PAGADA,2021-04-15,00:00,AV SIEMPRE VIVA,HF3461,60.0,58.0
629,88.0,40,R02,APELADA,1932-01-01,00:00,AV SIEMPRE VIVA,FVIOUHP,48.0,46.0
636,101.0,60,R03,ERROR,1932-01-01,00:00,RUTA 9,BB8986,41.0,38.0
650,86.0,80,R03,PAGADA,2020-06-14,00:00,AV LIBERTADOR,NTHGLFT,6.0,2.0
670,55.0,40,R01,APELADA,2020-02-04,00:00,AV SIEMPRE VIVA,NTHGLFT,15.0,13.0
677,74.0,40,R01,IMPAGA,2021-05-23,00:00,AV LIBERTADOR,990XYK,34.0,32.0
686,131.0,80,,IMPAGA,2023-01-31,00:00,AV LIBERTADOR,VY90540,51.0,47.0
713,119.0,80,R01,APELADA,2020-12-12,00:00,AV LIBERTADOR,BHRP770,39.0,35.0
733,127.0,60,R01,APELADA,2020-06-05,00:00,RUTA 9,2999961,67.0,64.0
755,85.0,40,R03,ERROR,2020-04-08,00:00,AV LIBERTADOR,FD1475,45.0,43.0
764,67.0,40,,IMPAGA,2022-02-14,00:00,RUTA 9,AWS167,27.0,25.0
768,87.0,60,R03,ERROR,1932-01-01,00:00,RUTA 9,YLO8WUE,27.0,24.0
779,104.0,60,R03,PAGADA,2023-09-07,00:00,RUTA 9,OUTSTDN,44.0,41.0
789,137.0,60,,PAGADA,2021-02-19,00:00,RUTA 9,990XYK,77.0,74.0
814,132.0,60,R01,APELADA,1932-01-01,00:00,AV LIBERTADOR,M431ZW,72.0,69.0
821,116.0,80,R01,IMPAGA,2020-07-04,00:00,RUTA 9,BM351,36.0,32.0
834,96.0,80,R03,ERROR,1932-01-01,00:00,AV SIEMPRE VIVA,9999868,16.0,12.0
841,114.0,60,R03,ERROR,2020-08-28,00:00,AV SIEMPRE VIVA,M431ZW,54.0,51.0
853,99.0,60,R02,IMPAGA,2023-07-29,00:00,AV LIBERTADOR,PIW4215,39.0,36.0
865,62.0,40,R01,ERROR,1932-01-01,00:00,AV SIEMPRE VIVA,WU08YWC,22.0,20.0
866,85.0,60,,ERROR,2020-12-01,00:00,AV LIBERTADOR,GLEN1E,25.0,22.0
887,83.0,40,R02,ERROR,1932-01-01,00:00,RUTA 9,CT5B876,43.0,41.0
893,83.0,40,R03,IMPAGA,2021-08-17,00:00,RUTA 9,VTIIAHV,43.0,41.0
904,85.0,60,R02,PAGADA,1932-01-01,00:00,AV SIEMPRE VIVA,VTIIAHV,25.0,22.0
930,116.0,80,R02,ERROR,2022-12-14,00:00,AV SIEMPRE VIVA,0695DVH,36.0,32.0
945,95.0,60,,APELADA,2021-03-11,00:00,AV LIBERTADOR,BHRP770,35.0,32.0
946,97.0,80,R02,PAGADA,2022-08-30,00:00,AV SIEMPRE VIVA,2999961,17.0,13.0
954,91.0,60,R01,IMPAGA,1932-01-01,00:00,RUTA 9,VTIIAHV,31.0,28.0
966,87.0,80,R03,IMPAGA,2023-06-22,00:00,AV LIBERTADOR,M20CPR,7.0,3.0
988,111.0,60,R03,APELADA,1932-01-01,00:00,AV LIBERTADOR,6NCE831,51.0,48.0
997,83.0,40,R02,PAGADA,1932-01-01,00:00,AV LIBERTADOR,GLEN1E,43.0,41.0
1000,121.0,60,R02,APELADA,2020-11-13,00:00,AV LIBERTADOR,691XC80,61.0,58.0
1012,74.0,40,,ERROR,2020-06-03,00:00,RUTA 9,HF3461,34.0,32.0
1013,55.0,40,R01,PAGADA,2020-11-15,00:00,RUTA 9,8B90638,15.0,13.0
1037,91.0,80,R01,IMPAGA,2021-03-22,00:00,RUTA 9,HF58HXP,11.0,7.0
1043,140.0,60,R03,APELADA,1932-01-01,00:00,AV LIBERTADOR,M20CPR,80.0,77.0
1050,69.0,60,,APELADA,2023-04-07,00:00,AV LIBERTADOR,GOOGLE,9.0,6.0
1090,136.0,80,R03,PAGADA,2024-02-06,00:00,AV SIEMPRE VIVA,6611172,56.0,52.0
1097,69.0,60,R02,PAGADA,1932-01-01,00:00,AV LIBERTADOR,M431ZW,9.0,6.0
1113,95.0,40,R02,PAGADA,2022-07-15,00:00,AV SIEMPRE VIVA,INTIGR8,55.0,53.0
1115,121.0,80,,ERROR,1932-01-01,00:00,AV LIBERTADOR,6EVY261,41.0,37.0
1127,88.0,60,R02,APELADA,2023-11-10,00:00,AV LIBERTADOR,2999961,28.0,25.0
1128,114.0,60,R02,APELADA,2023-05-25,00:00,AV SIEMPRE VIVA,INTIGR8,54.0,51.0
1141,91.0,40,R03,APELADA,1932-01-01,00:00,AV SIEMPRE VIVA,J1S1,51.0,49.0
1145,150.0,80,,ERROR,2022-11-05,00:00,AV LIBERTADOR,6611172,70.0,66.0
1156,114.0,60,R03,PAGADA,2021-08-20,00:00,AV SIEMPRE VIVA,M431ZW,54.0,51.0
1169,155.0,80,R02,APELADA,2023-12-02,00:00,RUTA 9,2999961,75.0,71.0
1170,116.0,60,R02,IMPAGA,2023-02-06,00:00,AV SIEMPRE VIVA,81ZFJD,56.0,53.0
1190,58.0,40,R03,ERROR,2022-03-04,00:00,AV LIBERTADOR,FD1475,18.0,16.0
1191,86.0,80,R01,PAGADA,2020-05-01,00:00,AV SIEMPRE VIVA,WU08YWC,6.0,2.0
1203,104.0,60,R01,APELADA,1932-01-01,00:00,AV LIBERTADOR,BB8986,44.0,41.0
1221,125.0,80,R02,ERROR,2020-05-20,00:00,AV SIEMPRE VIVA,BM351,45.0,41.0
1236,120.0,60,R02,PAGADA,1932-01-01,00:00,AV SIEMPRE VIVA,T0YDR,60.0,57.0
1242,107.0,60,R02,PAGADA,2021-12-25,00:00,AV LIBERTADOR,409,47.0,44.0
1249,120.0,40,,ERROR,2021-05-19,00:00,RUTA 9,81ZFJD,80.0,78.0
1254,86.0,80,R03,IMPAGA,2023-07-28,00:00,AV SIEMPRE VIVA,HF58HXP,6.0,2.0
1256,156.0,80,,ERROR,2023-02-18,00:00,AV SIEMPRE VIVA,BX55DOG,76.0,72.0
1259,117.0,80,,APELADA,2022-11-29,00:00,AV LIBERTADOR,691XC80,37.0,33.0
1273,78.0,40,R01,IMPAGA,2021-12-23,00:00,AV LIBERTADOR,GN64OTP,38.0,36.0
1276,107.0,80,R02,PAGADA,2021-10-24,00:00,AV LIBERTADOR,6EVY261,27.0,23.0
1279,68.0,40,,IMPAGA,2022-06-13,00:00,RUTA 9,UW3932,28.0,26.0
1294,87.0,40,R01,PAGADA,1932-01-01,00:00,RUTA 9,TL03GOG,47.0,45.0
1306,72.0,40,,PAGADA,2020-05-01,00:00,RUTA 9,810TCH,32.0,30.0
1322,92.0,60,,APELADA,1932-01-01,00:00,AV LIBERTADOR,GOOGLE,32.0,29.0
1331,102.0,80,R02,IMPAGA,1932-01-01,00:00,AV LIBERTADOR,NTHGLFT,22.0,18.0
1335,58.0,40,R01,PAGADA,2023-10-27,00:00,RUTA 9,OUTSTDN,18.0,16.0
1352,117.0,80,R01,IMPAGA,2020-12-21,00:00,RUTA 9,B81JKY,37.0,33.0
1399,105.0,40,R02,IMPAGA,1932-01-01,00:00,AV LIBERTADOR,XIIUME,65.0,63.0
1409,145.0,80,R02,PAGADA,2023-12-12,00:00,AV LIBERTADOR,691XC80,65.0,61.0
1410,65.0,60,,PAGADA,1932-01-01,00:00,AV SIEMPRE VIVA,HF3461,5.0,2.0
1428,55.0,40,R03,IMPAGA,2020-10-12,00:00,AV SIEMPRE VIVA,BP717,15.0,13.0
1431,120.0,80,,ERROR,2020-04-28,00:00,AV LIBERTADOR,81ZFJD,40.0,36.0
1477,102.0,60,,IMPAGA,1932-01-01,00:00,AV LIBERTADOR,VTIIAHV,42.0,39.0
1481,73.0,60,R01,PAGADA,1932-01-01,00:00,AV LIBERTADOR,PIW4215,13.0,10.0
1493,118.0,40,R03,ERROR,2020-02-29,00:00,AV SIEMPRE VIVA,UM96201,78.0,76.0
1510,109.0,80,R03,ERROR,2023-08-23,00:00,RUTA 9,6NCE831,29.0,25.0
1519,94.0,80,R02,APELADA,2021-01-03,00:00,AV SIEMPRE VIVA,B81JKY,14.0,10.0
1525,91.0,80,,ERROR,2021-07-09,00:00,AV SIEMPRE VIVA,5777770,11.0,7.0
1531,96.0,40,R01,APELADA,2020-11-17,00:00,AV SIEMPRE VIVA,M20CPR,56.0,54.0
1547,51.0,40,R01,PAGADA,1932-01-01,00:00,AV LIBERTADOR,BX55DOG,11.0,9.0
1552,98.0,80,R02,PAGADA,2020-10-28,00:00,AV SIEMPRE VIVA,41RSTZ,18.0,14.0
1554,87.0,80,R03,APELADA,2023-07-08,00:00,AV LIBERTADOR,UW3932,7.0,3.0
1571,46.0,40,,IMPAGA,1932-01-01,00:00,RUTA 9,GOOGLE,6.0,4.0
1589,134.0,60,R02,PAGADA,2020-06-20,00:00,AV SIEMPRE VIVA,691XC80,74.0,71.0
1596,122.0,80,R02,IMPAGA,1932-01-01,00:00,AV SIEMPRE VIVA,M431ZW,42.0,38.0
1597,53.0,40,,IMPAGA,2023-01-03,00:00,AV LIBERTADOR,GCP332,13.0,11.0
1602,51.0,40,R03,ERROR,2023-07-28,00:00,AV SIEMPRE VIVA,409,11.0,9.0
1605,81.0,60,R03,IMPAGA,2021-07-04,00:00,AV SIEMPRE VIVA,UW3932,21.0,18.0
1608,107.0,60,R01,ERROR,2023-10-03,00:00,AV SIEMPRE VIVA,WU08YWC,47.0,44.0
1618,105.0,60,R01,IMPAGA,2022-03-28,00:00,AV SIEMPRE VIVA,B81JKY,45.0,42.0
1624,106.0,60,,APELADA,1932-01-01,00:00,AV LIBERTADOR,5777770,46.0,43.0
1628,135.0,60,R02,IMPAGA,2022-08-01,00:00,AV LIBERTADOR,FVIOUHP,75.0,72.0
1632,57.0,40,R01,APELADA,2021-04-09,00:00,AV SIEMPRE VIVA,HF3461,17.0,15.0
1657,75.0,60,R01,IMPAGA,1932-01-01,00:00,AV SIEMPRE VIVA,6EVY261,15.0,12.0
1711,80.0,40,R01,IMPAGA,1932-01-01,00:00,AV LIBERTADOR,TL03GOG,40.0,38.0
1735,151.0,80,R02,ERROR,2020-05-01,00:00,AV SIEMPRE VIVA,AI7OVF,71.0,67.0
1737,87.0,40,R03,APELADA,2023-10-06,00:00,AV LIBERTADOR,81ZFJD,47.0,45.0
1746,112.0,40,R03,PAGADA,2023-10-01,00:00,RUTA 9,HF58HXP,72.0,70.0
1794,65.0,60,R02,PAGADA,2022-09-27,00:00,RUTA 9,6EVY261,5.0,2.0
1810,158.0,80,R03,ERROR,2022-06-15,00:00,AV LIBERTADOR,9999868,78.0,74.0
1817,88.0,40,R02,APELADA,2021-08-22,00:00,AV SIEMPRE VIVA,VNK296GP,48.0,46.0
1833,74.0,60,R01,APELADA,2022-10-30,00:00,RUTA 9,MVU4688,14.0,11.0
1853,79.0,60,,PAGADA,2021-07-16,00:00,AV SIEMPRE VIVA,HF3461,19.0,16.0
1857,159.0,80,R01,IMPAGA,1932-01-01,00:00,RUTA 9,GCP332,79.0,75.0
1863,123.0,60,R01,PAGADA,1932-01-01,00:00,AV SIEMPRE VIVA,WU341A,63.0,60.0
1865,88.0,60,R02,IMPAGA,2023-02-25,00:00,AV SIEMPRE VIVA,MVU4688,28.0,25.0
1867,44.0,40,R01,ERROR,1932-01-01,00:00,AV LIBERTADOR,GN64OTP,4.0,2.0
1876,110.0,60,R03,PAGADA,2022-11-20,00:00,AV LIBERTADOR,VTIIAHV,50.0,47.0
1887,91.0,80,,PAGADA,2023-02-14,00:00,AV LIBERTADOR,810TCH,11.0,7.0
1899,93.0,80,R02,IMPAGA,1932-01-01,00:00,RUTA 9,PIW4215,13.0,9.0
1901,75.0,60,R01,APELADA,2023-10-15,00:00,AV LIBERTADOR,B81JKY,15.0,12.0
1904,66.0,40,,APELADA,2021-05-23,00:00,AV SIEMPRE VIVA,M431ZW,26.0,24.0
1912,112.0,60,,IMPAGA,1932-01-01,00:00,AV LIBERTADOR,8B90638,52.0,49.0
1914,78.0,40,R01,PAGADA,2023-02-07,00:00,AV LIBERTADOR,HF58HXP,38.0,36.0
1922,74.0,40,,APELADA,2023-06-05,00:00,AV LIBERTADOR,INTIGR8,34.0,32.0
1924,116.0,60,R01,ERROR,2022-08-28,00:00,AV SIEMPRE VIVA,M20CPR,56.0,53.0
1956,46.0,40,R02,ERROR,2022-06-21,00:00,RUTA 9,VY90540,6.0,4.0
1958,124.0,80,R01,APELADA,2021-06-07,00:00,AV LIBERTADOR,GCP332,44.0,40.0
1968,117.0,80,R03,ERROR,2022-02-21,00:00,AV LIBERTADOR,OUTSTDN,37.0,33.0
1977,87.0,40,R03,ERROR,2020-02-17,00:00,AV LIBERTADOR,409,47.0,45.0
2009,120.0,60,R02,IMPAGA,2023-03-05,00:00,AV SIEMPRE VIVA,3646HBH,60.0,57.0
2010,75.0,40,R03,APELADA,2021-04-25,00:00,RUTA 9,831MDB,35.0,33.0
2017,122.0,80,R03,ERROR,2023-09-19,00:00,RUTA 9,M431ZW,42.0,38.0
2022,81.0,60,R02,IMPAGA,1932-01-01,00:00,AV LIBERTADOR,810TCH,21.0,18.0
2032,106.0,80,R03,ERROR,1932-01-01,00:00,AV LIBERTADOR,GE1466,26.0,22.0
2081,96.0,60,R03,APELADA,2023-01-22,00:00,AV LIBERTADOR,BM351,36.0,33.0
2085,101.0,40,,IMPAGA,2022-08-19,00:00,RUTA 9,831MDB,61.0,59.0
2109,73.0,40,R03,IMPAGA,2022-11-16,00:00,AV LIBERTADOR,AWS167,33.0,31.0
2115,89.0,60,R02,ERROR,1932-01-01,00:00,AV LIBERTADOR,GLEN1E,29.0,26.0
2118,106.0,60,R01,IMPAGA,2022-01-27,00:00,AV LIBERTADOR,FD1475,46.0,43.0
2130,90.0,60,R01,ERROR,2021-09-20,00:00,RUTA 9,831MDB,30.0,27.0
2135,45.0,40,R02,APELADA,2021-12-15,00:00,RUTA 9,409,5.0,3.0
2146,113.0,40,R03,IMPAGA,2023-12-25,00:00,AV LIBERTADOR,YLO8WUE,73.0,71.0
2147,93.0,40,R02,ERROR,2021-01-20,00:00,AV LIBERTADOR,6611172,53.0,51.0
2152,56.0,40,R01,ERROR,1932-01-01,00:00,AV SIEMPRE VIVA,GN64OTP,16.0,14.0
