multa_id,velocidad_registrada,velocidad_maxima,radar_id,estado_multa,fecha,hora,ubicacion,patente,exceso_velocidad_real,exceso_velocidad
3,107.0,60,R03,PAGADA,2022-07-17,09:01,AV LIBERTADOR,WU341A,47.0,44.0
5,94.0,60,,ERROR,2021-01-21,00:00,AV SIEMPRE VIVA,BX55DOG,34.0,31.0
8,70.0,60,R01,PAGADA,2023-01-11,08:01,AV SIEMPRE VIVA,BP717,10.0,7.0
10,71.0,40,R02,APELADA,1932-01-01,14:01,AV LIBERTADOR,OUTSTDN,31.0,29.0
13,75.0,40,,IMPAGA,2020-08-12,18:01,AV LIBERTADOR,GE1466,35.0,33.0
17,93.0,40,R02,APELADA,2020-01-29,09:02,AV SIEMPRE VIVA,5777770,53.0,51.0
21,71.0,60,R03,PAGADA,1932-01-01,08:01,RUTA 9,BHRP770,11.0,8.0
22,121.0,80,R01,IMPAGA,2020-10-15,09:02,AV LIBERTADOR,RFH373,41.0,37.0
24,52.0,40,R03,IMPAGA,2021-06-12,08:01,AV SIEMPRE VIVA,XIIUME,12.0,10.0
26,62.0,40,,APELADA,2022-11-20,14:01,RUTA 9,HF58HXP,22.0,20.0
31,123.0,60,R03,PAGADA,1932-01-01,14:01,RUTA 9,M431ZW,63.0,60.0
35,67.0,40,R03,ERROR,2020-11-22,08:02,AV LIBERTADOR,GE1466,27.0,25.0
36,85.0,40,,APELADA,1932-01-01,18:01,AV LIBERTADOR,J1S1,45.0,43.0
40,71.0,60,R03,APELADA,2023-04-30,09:03,AV LIBERTADOR,VTIIAHV,11.0,8.0
41,109.0,60,R02,PAGADA,2022-02-26,08:02,AV LIBERTADOR,6611172,49.0,46.0
44,106.0,40,,IMPAGA,2024-01-26,14:02,AV LIBERTADOR,GCP332,66.0,64.0
47,70.0,60,R01,IMPAGA,2020-05-28,00:00,RUTA 9,W326AVE,10.0,7.0
49,156.0,80,R02,ERROR,2022-03-03,09:04,AV LIBERTADOR,810TCH,76.0,72.0
50,66.0,40,R02,APELADA,2023-12-08,08:02,AV SIEMPRE VIVA,GCP332,26.0,24.0
51,90.0,80,R02,IMPAGA,2023-04-18,08:03,RUTA 9,BB8986,10.0,6.0
